"","Description","Value","Replicate.Name","Retention.Time","Area","Area.with.QC","Precursor.Ion.Name","Background","Height","Mass.Error.PPM","all.Flags","RT.Flag","blank.Flag","height.min.Flag","overloaded.Flag","area.min.Flag","SN.Flag"
"1636",NA,NA,"180205_Smp_L1C33DCM_A",11.27,24283408,24283408,"Glycerophosphocholine",9000,2262443,-1.9,NA,NA,NA,NA,NA,NA,NA
"1637",NA,NA,"180205_Smp_L1C33DCM_B",11.24,26127964,26127964,"Glycerophosphocholine",367872,2562228,-2.3,NA,NA,NA,NA,NA,NA,NA
"1638",NA,NA,"180205_Smp_L1C33DCM_C",11.2,16811134,16811134,"Glycerophosphocholine",299090,1714036,-2.6,NA,NA,NA,NA,NA,NA,NA
"1639",NA,NA,"180205_Smp_L1C33DCMplus10m_A",11.13,63092464,63092464,"Glycerophosphocholine",656858,5591561,-2.2,NA,NA,NA,NA,NA,NA,NA
"1640",NA,NA,"180205_Smp_L1C33DCMplus10m_B",11.21,27005890,27005890,"Glycerophosphocholine",191265,2486146,-2.2,NA,NA,NA,NA,NA,NA,NA
"1641",NA,NA,"180205_Smp_L1C33DCMplus10m_C",11.19,20275262,20275262,"Glycerophosphocholine",193973,2048032,-2.3,NA,NA,NA,NA,NA,NA,NA
"1642",NA,NA,"180205_Smp_L1C33DCMplus20m_A",11.25,12102294,12102294,"Glycerophosphocholine",17782,1198831,-2.2,NA,NA,NA,NA,NA,NA,NA
"1643",NA,NA,"180205_Smp_L1C33DCMplus20m_B",11.2,11832408,11832408,"Glycerophosphocholine",28958,1222846,-1.9,NA,NA,NA,NA,NA,NA,NA
"1644",NA,NA,"180205_Smp_L1C33DCMplus20m_C",11.2,12194836,12194836,"Glycerophosphocholine",0,1241031,-2.1,NA,NA,NA,NA,NA,NA,NA
"1645",NA,NA,"180205_Smp_L2C1DCMless10m_A",11.25,8919334,8919334,"Glycerophosphocholine",0,852526,-2,NA,NA,NA,NA,NA,NA,NA
"1646",NA,NA,"180205_Smp_L2C1DCMless10m_B",11.25,9835210,9835210,"Glycerophosphocholine",0,868332,-2.2,NA,NA,NA,NA,NA,NA,NA
"1647",NA,NA,"180205_Smp_L2C1DCMless10m_C",11.22,6940432,6940432,"Glycerophosphocholine",0,731731,-2.5,NA,NA,NA,NA,NA,NA,NA
"1648",NA,NA,"180205_Smp_L2C1DCMless20m_A",11.13,32609908,32609908,"Glycerophosphocholine",308309,2698821,-1.8,NA,NA,NA,NA,NA,NA,NA
"1649",NA,NA,"180205_Smp_L2C1DCMless20m_B",11.19,11903353,11903353,"Glycerophosphocholine",53639,1047063,-1.9,NA,NA,NA,NA,NA,NA,NA
"1650",NA,NA,"180205_Smp_L2C1DCMless20m_C",11.19,7528550,7528550,"Glycerophosphocholine",0,740561,-2.3,NA,NA,NA,NA,NA,NA,NA
"1651",NA,NA,"180205_Smp_L2C2DCM_A",11.23,11919929,11919929,"Glycerophosphocholine",4080,1093128,-2.3,NA,NA,NA,NA,NA,NA,NA
"1652",NA,NA,"180205_Smp_L2C2DCM_B",11.22,12450944,12450944,"Glycerophosphocholine",36714,1179733,-2.2,NA,NA,NA,NA,NA,NA,NA
"1653",NA,NA,"180205_Smp_L2C2DCM_C",11.2,16394540,16394540,"Glycerophosphocholine",35714,1496338,-2,NA,NA,NA,NA,NA,NA,NA
"1654",NA,NA,"180205_Smp_L2C2DCMplus10m_A",11.14,28539608,28539608,"Glycerophosphocholine",205914,2908759,-2.1,NA,NA,NA,NA,NA,NA,NA
"1655",NA,NA,"180205_Smp_L2C2DCMplus10m_B",11.17,10885669,10885669,"Glycerophosphocholine",0,979177,-1.9,NA,NA,NA,NA,NA,NA,NA
"1656",NA,NA,"180205_Smp_L2C2DCMplus10m_C",11.17,7764317,7764317,"Glycerophosphocholine",0,723479,-2.6,NA,NA,NA,NA,NA,NA,NA
"1657",NA,NA,"180205_Smp_L2C2DCMplus20m_A",11.16,20482976,20482976,"Glycerophosphocholine",447436,2258364,-2.1,NA,NA,NA,NA,NA,NA,NA
"1658",NA,NA,"180205_Smp_L2C2DCMplus20m_B",11.24,6170452,6170452,"Glycerophosphocholine",0,565610,-2.2,NA,NA,NA,NA,NA,NA,NA
"1659",NA,NA,"180205_Smp_L2C2DCMplus20m_C",11.17,5375917,5375917,"Glycerophosphocholine",0,394330,-2.2,NA,NA,NA,NA,NA,NA,NA
"1660",NA,NA,"180205_Std_4uMStdsInH2O_1",11.82,4710264,4710264,"Glycine",0,340538,1.1,NA,NA,NA,NA,NA,NA,NA
"1661",NA,NA,"180205_Std_4uMStdsInH2O_2",11.68,1836031,1836031,"Glycine",0,104014,0.7,NA,NA,NA,NA,NA,NA,NA
"1662",NA,NA,"180205_Std_4uMStdsInMatrix_1",11.86,6715632,6715632,"Glycine",22668,457825,1.5,NA,NA,NA,NA,NA,NA,NA
"1663",NA,NA,"180205_Std_4uMStdsInMatrix_2",11.85,3151839,3151839,"Glycine",0,164582,0.8,NA,NA,NA,NA,NA,NA,NA
"1664",NA,NA,"180205_Blk_MQBlk_1",11.94,195114,195114,"Glycine",0,16203,1.1,NA,NA,NA,NA,NA,NA,NA
"1665",NA,NA,"180205_Blk_MQBlk_2",11.6,7013,7013,"Glycine",0,5997,0.2,"blank.Flag",NA,"blank.Flag",NA,NA,NA,NA
"1666",NA,NA,"180205_Blk_MQBlk_3",11.85,340945,340945,"Glycine",0,24944,0.9,NA,NA,NA,NA,NA,NA,NA
"1667",NA,NA,"180205_Blk_SWBlk_1",12.14,52833,52833,"Glycine",0,6452,0.5,"blank.Flag",NA,"blank.Flag",NA,NA,NA,NA
"1668",NA,NA,"180205_Blk_SWBlk_2",12.18,14705,14705,"Glycine",0,7761,0.7,"blank.Flag",NA,"blank.Flag",NA,NA,NA,NA
"1669",NA,NA,"180205_Blk_SWBlk_3",12.17,12999,12999,"Glycine",0,5924,0.2,"blank.Flag",NA,"blank.Flag",NA,NA,NA,NA
"1670",NA,NA,"180205_Poo_Sept29QC_1",12.08,3665672,3665672,"Glycine",0,167082,1.2,NA,NA,NA,NA,NA,NA,NA
"1671",NA,NA,"180205_Poo_Sept29QC_2",12.1,1380960,1380960,"Glycine",0,59285,1.3,NA,NA,NA,NA,NA,NA,NA
"1672",NA,NA,"180205_Poo_Sept29QC_3",11.97,1571769,1571769,"Glycine",0,65884,0.7,NA,NA,NA,NA,NA,NA,NA
"1673",NA,NA,"180205_Poo_Sept29QC_4",12.18,1467280,1467280,"Glycine",0,59181,1,NA,NA,NA,NA,NA,NA,NA
"1674",NA,NA,"180205_Poo_TruePoo_Full1",12,10362153,10362153,"Glycine",239774,469004,1.2,NA,NA,NA,NA,NA,NA,NA
"1675",NA,NA,"180205_Poo_TruePoo_Full2",12.06,3951088,3951088,"Glycine",0,161820,1.1,NA,NA,NA,NA,NA,NA,NA
"1676",NA,NA,"180205_Poo_TruePoo_Full3",11.92,4868805,4868805,"Glycine",0,187819,1,NA,NA,NA,NA,NA,NA,NA
"1677",NA,NA,"180205_Poo_TruePoo_Half1",11.91,5533521,5533521,"Glycine",0,265569,1,NA,NA,NA,NA,NA,NA,NA
"1678",NA,NA,"180205_Poo_TruePoo_Half2",11.97,2400675,2400675,"Glycine",0,122456,1.1,NA,NA,NA,NA,NA,NA,NA
"1679",NA,NA,"180205_Poo_TruePoo_Half3",11.91,2542278,2542278,"Glycine",0,127990,0.9,NA,NA,NA,NA,NA,NA,NA
"1680",NA,NA,"180205_Smp_L1C32DCMless10m_A",12.2,12299093,12299093,"Glycine",115832,486334,1.2,NA,NA,NA,NA,NA,NA,NA
"1681",NA,NA,"180205_Smp_L1C32DCMless10m_B",12.05,5103029,5103029,"Glycine",0,207251,1.3,NA,NA,NA,NA,NA,NA,NA
"1682",NA,NA,"180205_Smp_L1C32DCMless10m_C",11.91,8731043,8731043,"Glycine",0,402102,0.6,NA,NA,NA,NA,NA,NA,NA
"1683",NA,NA,"180205_Smp_L1C32DCMless20m_A",12.03,7098797,7098797,"Glycine",0,262059,1.2,NA,NA,NA,NA,NA,NA,NA
"1684",NA,NA,"180205_Smp_L1C32DCMless20m_B",11.97,9204904,9204904,"Glycine",0,370148,1.1,NA,NA,NA,NA,NA,NA,NA
"1685",NA,NA,"180205_Smp_L1C32DCMless20m_C",11.82,13455238,13455238,"Glycine",0,530246,0.9,NA,NA,NA,NA,NA,NA,NA
"1686",NA,NA,"180205_Smp_L1C33DCM_A",12.06,6443858,6443858,"Glycine",0,254355,1.2,NA,NA,NA,NA,NA,NA,NA
"1687",NA,NA,"180205_Smp_L1C33DCM_B",12.06,10497382,10497382,"Glycine",2532,438731,1.3,NA,NA,NA,NA,NA,NA,NA
"1688",NA,NA,"180205_Smp_L1C33DCM_C",11.89,4648647,4648647,"Glycine",0,188837,0.4,NA,NA,NA,NA,NA,NA,NA
"1689",NA,NA,"180205_Smp_L1C33DCMplus10m_A",12.09,15775831,15775831,"Glycine",0,706084,1,NA,NA,NA,NA,NA,NA,NA
"1690",NA,NA,"180205_Smp_L1C33DCMplus10m_B",11.88,8104883,8104883,"Glycine",0,309367,1.1,NA,NA,NA,NA,NA,NA,NA
"1691",NA,NA,"180205_Smp_L1C33DCMplus10m_C",11.79,9671971,9671971,"Glycine",0,402046,0.8,NA,NA,NA,NA,NA,NA,NA
"1692",NA,NA,"180205_Smp_L1C33DCMplus20m_A",12.34,4697577,4697577,"Glycine",0,202752,1,"RT.Flag","RT.Flag",NA,NA,NA,NA,NA
"1693",NA,NA,"180205_Smp_L1C33DCMplus20m_B",11.92,4045067,4045067,"Glycine",0,178888,1.2,NA,NA,NA,NA,NA,NA,NA
"1694",NA,NA,"180205_Smp_L1C33DCMplus20m_C",11.89,4770670,4770670,"Glycine",27970,227010,0.9,NA,NA,NA,NA,NA,NA,NA
"1695",NA,NA,"180205_Smp_L2C1DCMless10m_A",12.28,3179107,3179107,"Glycine",0,130679,1.2,"RT.Flag","RT.Flag",NA,NA,NA,NA,NA
"1696",NA,NA,"180205_Smp_L2C1DCMless10m_B",12.05,4093889,4093889,"Glycine",0,163040,1.2,NA,NA,NA,NA,NA,NA,NA
"1697",NA,NA,"180205_Smp_L2C1DCMless10m_C",11.92,2990701,2990701,"Glycine",0,119853,0.6,NA,NA,NA,NA,NA,NA,NA
"1698",NA,NA,"180205_Smp_L2C1DCMless20m_A",11.97,6095904,6095904,"Glycine",298556,248072,1.4,NA,NA,NA,NA,NA,NA,NA
"1699",NA,NA,"180205_Smp_L2C1DCMless20m_B",12.05,2367222,2367222,"Glycine",0,95205,1.3,NA,NA,NA,NA,NA,NA,NA
"1700",NA,NA,"180205_Smp_L2C1DCMless20m_C",11.8,1705661,1705661,"Glycine",0,78643,0.8,NA,NA,NA,NA,NA,NA,NA
"1701",NA,NA,"180205_Smp_L2C2DCM_A",12.22,4075562,4075562,"Glycine",0,155130,0.6,NA,NA,NA,NA,NA,NA,NA
"1702",NA,NA,"180205_Smp_L2C2DCM_B",12.08,6157405,6157405,"Glycine",0,236660,1.1,NA,NA,NA,NA,NA,NA,NA
"1703",NA,NA,"180205_Smp_L2C2DCM_C",11.91,4354644,4354644,"Glycine",0,181929,0.9,NA,NA,NA,NA,NA,NA,NA
"1704",NA,NA,"180205_Smp_L2C2DCMplus10m_A",11.98,5312085,5312085,"Glycine",0,209345,1.1,NA,NA,NA,NA,NA,NA,NA
"1705",NA,NA,"180205_Smp_L2C2DCMplus10m_B",11.95,3767395,3767395,"Glycine",0,170749,1.1,NA,NA,NA,NA,NA,NA,NA
"1706",NA,NA,"180205_Smp_L2C2DCMplus10m_C",11.82,2779180,2779180,"Glycine",0,145121,0.7,NA,NA,NA,NA,NA,NA,NA
"1707",NA,NA,"180205_Smp_L2C2DCMplus20m_A",12.11,4116550,4116550,"Glycine",236859,175365,1.2,NA,NA,NA,NA,NA,NA,NA
"1708",NA,NA,"180205_Smp_L2C2DCMplus20m_B",11.97,3866544,3866544,"Glycine",0,152960,1.1,NA,NA,NA,NA,NA,NA,NA
"1709",NA,NA,"180205_Smp_L2C2DCMplus20m_C",11.8,2420466,2420466,"Glycine",0,115541,0.7,NA,NA,NA,NA,NA,NA,NA
"1710",NA,NA,"180205_Std_4uMStdsInH2O_1",8.33,238477776,238477776,"Guanine",1848398,12672580,-3.7,NA,NA,NA,NA,NA,NA,NA
"1711",NA,NA,"180205_Std_4uMStdsInH2O_2",8.36,187285408,187285408,"Guanine",1963058,10961915,-3.8,NA,NA,NA,NA,NA,NA,NA
"1712",NA,NA,"180205_Std_4uMStdsInMatrix_1",8.39,267914224,267914224,"Guanine",1915618,15757255,-3.4,NA,NA,NA,NA,NA,NA,NA
"1713",NA,NA,"180205_Std_4uMStdsInMatrix_2",8.36,143081152,143081152,"Guanine",1763887,8208947,-4.2,NA,NA,NA,NA,NA,NA,NA
"1714",NA,NA,"180205_Blk_MQBlk_1",8.42,825857,825857,"Guanine",0,42441,-3.4,NA,NA,NA,NA,NA,NA,NA
"1715",NA,NA,"180205_Blk_MQBlk_2",8.48,223083,223083,"Guanine",0,16909,-3.5,"blank.Flag",NA,"blank.Flag",NA,NA,NA,NA
"1716",NA,NA,"180205_Blk_MQBlk_3",8.42,534231,534231,"Guanine",0,33740,-3.8,NA,NA,NA,NA,NA,NA,NA
"1717",NA,NA,"180205_Blk_SWBlk_1",8.42,1657291,1657291,"Guanine",0,109251,-3.5,NA,NA,NA,NA,NA,NA,NA
"1718",NA,NA,"180205_Blk_SWBlk_2",8.33,704992,704992,"Guanine",0,41339,-3.5,NA,NA,NA,NA,NA,NA,NA
"1719",NA,NA,"180205_Blk_SWBlk_3",8.33,517369,517369,"Guanine",0,31659,-4,NA,NA,NA,NA,NA,NA,NA
"1720",NA,NA,"180205_Poo_Sept29QC_1",8.36,346045664,346045664,"Guanine",4031251,22167882,-3.5,NA,NA,NA,NA,NA,NA,NA
"1721",NA,NA,"180205_Poo_Sept29QC_2",8.35,109961248,109961248,"Guanine",1540936,7066733,-3.5,NA,NA,NA,NA,NA,NA,NA
"1722",NA,NA,"180205_Poo_Sept29QC_3",8.37,102740952,102740952,"Guanine",1839173,6045875,-4.2,NA,NA,NA,NA,NA,NA,NA
"1723",NA,NA,"180205_Poo_Sept29QC_4",8.37,113621144,113621144,"Guanine",1769837,7696545,-4.2,NA,NA,NA,NA,NA,NA,NA
"1724",NA,NA,"180205_Poo_TruePoo_Full1",8.38,544563456,544563456,"Guanine",6353274,32548702,-3.8,NA,NA,NA,NA,NA,NA,NA
"1725",NA,NA,"180205_Poo_TruePoo_Full2",8.38,222256336,222256336,"Guanine",2227575,13795066,-3.9,NA,NA,NA,NA,NA,NA,NA
"1726",NA,NA,"180205_Poo_TruePoo_Full3",8.37,252541920,252541920,"Guanine",2884517,14313421,-3.9,NA,NA,NA,NA,NA,NA,NA
"1727",NA,NA,"180205_Poo_TruePoo_Half1",8.39,325731712,325731712,"Guanine",3184859,18835294,-3.7,NA,NA,NA,NA,NA,NA,NA
"1728",NA,NA,"180205_Poo_TruePoo_Half2",8.38,113353888,113353888,"Guanine",1754690,7437615,-3.7,NA,NA,NA,NA,NA,NA,NA
"1729",NA,NA,"180205_Poo_TruePoo_Half3",8.37,106571688,106571688,"Guanine",1663025,6040680,-3.9,NA,NA,NA,NA,NA,NA,NA
"1730",NA,NA,"180205_Smp_L1C32DCMless10m_A",8.36,381957280,381957280,"Guanine",4587082,20546986,-3.7,NA,NA,NA,NA,NA,NA,NA
"1731",NA,NA,"180205_Smp_L1C32DCMless10m_B",8.36,209594096,209594096,"Guanine",3290492,13180163,-3.8,NA,NA,NA,NA,NA,NA,NA
"1732",NA,NA,"180205_Smp_L1C32DCMless10m_C",8.41,240837552,240837552,"Guanine",2934776,14810164,-4.1,NA,NA,NA,NA,NA,NA,NA
"1733",NA,NA,"180205_Smp_L1C32DCMless20m_A",8.41,434529728,434529728,"Guanine",6095942,25801142,-3.9,NA,NA,NA,NA,NA,NA,NA
"1734",NA,NA,"180205_Smp_L1C32DCMless20m_B",8.34,232657472,232657472,"Guanine",2295112,12654990,-3.8,NA,NA,NA,NA,NA,NA,NA
"1735",NA,NA,"180205_Smp_L1C32DCMless20m_C",8.34,300755584,300755584,"Guanine",4033384,18138612,-4.1,NA,NA,NA,NA,NA,NA,NA
"1736",NA,NA,"180205_Smp_L1C33DCM_A",8.37,313121120,313121120,"Guanine",3977254,21374256,-4,NA,NA,NA,NA,NA,NA,NA
"1737",NA,NA,"180205_Smp_L1C33DCM_B",8.35,272077888,272077888,"Guanine",2875069,17546432,-3.7,NA,NA,NA,NA,NA,NA,NA
"1738",NA,NA,"180205_Smp_L1C33DCM_C",8.41,291318464,291318464,"Guanine",3693783,17914370,-4.1,NA,NA,NA,NA,NA,NA,NA
"1739",NA,NA,"180205_Smp_L1C33DCMplus10m_A",8.36,514778528,514778528,"Guanine",6210930,27828192,-4,NA,NA,NA,NA,NA,NA,NA
"1740",NA,NA,"180205_Smp_L1C33DCMplus10m_B",8.33,254258912,254258912,"Guanine",3319791,14299489,-4,NA,NA,NA,NA,NA,NA,NA
"1741",NA,NA,"180205_Smp_L1C33DCMplus10m_C",8.39,257680480,257680480,"Guanine",2452714,15042125,-4.2,NA,NA,NA,NA,NA,NA,NA
"1742",NA,NA,"180205_Smp_L1C33DCMplus20m_A",8.41,197520320,197520320,"Guanine",2909325,12575729,-3.6,NA,NA,NA,NA,NA,NA,NA
"1743",NA,NA,"180205_Smp_L1C33DCMplus20m_B",8.37,136545504,136545504,"Guanine",2223220,8040172,-3.8,NA,NA,NA,NA,NA,NA,NA
"1744",NA,NA,"180205_Smp_L1C33DCMplus20m_C",8.42,151520336,151520336,"Guanine",1880975,8466862,-4.1,NA,NA,NA,NA,NA,NA,NA
"1745",NA,NA,"180205_Smp_L2C1DCMless10m_A",8.41,216254544,216254544,"Guanine",2832437,14368978,-3.7,NA,NA,NA,NA,NA,NA,NA
"1746",NA,NA,"180205_Smp_L2C1DCMless10m_B",8.34,241477696,241477696,"Guanine",3580475,15635403,-3.8,NA,NA,NA,NA,NA,NA,NA
"1747",NA,NA,"180205_Smp_L2C1DCMless10m_C",8.37,218101232,218101232,"Guanine",3635760,13345661,-4.1,NA,NA,NA,NA,NA,NA,NA
"1748",NA,NA,"180205_Smp_L2C1DCMless20m_A",8.4,496841824,496841824,"Guanine",7178801,30063330,-3.8,NA,NA,NA,NA,NA,NA,NA
"1749",NA,NA,"180205_Smp_L2C1DCMless20m_B",8.33,241904208,241904208,"Guanine",3246106,15640081,-3.8,NA,NA,NA,NA,NA,NA,NA
"1750",NA,NA,"180205_Smp_L2C1DCMless20m_C",8.36,197360016,197360016,"Guanine",2366426,11914370,-4.3,NA,NA,NA,NA,NA,NA,NA
"1751",NA,NA,"180205_Smp_L2C2DCM_A",8.39,288409888,288409888,"Guanine",3587199,17695648,-4.2,NA,NA,NA,NA,NA,NA,NA
"1752",NA,NA,"180205_Smp_L2C2DCM_B",8.36,256745296,256745296,"Guanine",4328965,14763920,-3.7,NA,NA,NA,NA,NA,NA,NA
"1753",NA,NA,"180205_Smp_L2C2DCM_C",8.37,230873712,230873712,"Guanine",3036379,13614480,-4,NA,NA,NA,NA,NA,NA,NA
"1754",NA,NA,"180205_Smp_L2C2DCMplus10m_A",8.36,479905984,479905984,"Guanine",5228723,26327890,-3.9,NA,NA,NA,NA,NA,NA,NA
"1755",NA,NA,"180205_Smp_L2C2DCMplus10m_B",8.36,273955616,273955616,"Guanine",2424514,18965706,-3.7,NA,NA,NA,NA,NA,NA,NA
"1756",NA,NA,"180205_Smp_L2C2DCMplus10m_C",8.37,280211072,280211072,"Guanine",2786322,16622822,-4.4,NA,NA,NA,NA,NA,NA,NA
"1757",NA,NA,"180205_Smp_L2C2DCMplus20m_A",8.41,516603008,516603008,"Guanine",5357458,31875172,-4,NA,NA,NA,NA,NA,NA,NA
"1758",NA,NA,"180205_Smp_L2C2DCMplus20m_B",8.37,197653392,197653392,"Guanine",2429786,11762549,-3.8,NA,NA,NA,NA,NA,NA,NA
"1759",NA,NA,"180205_Smp_L2C2DCMplus20m_C",8.39,216111792,216111792,"Guanine",2546190,12372987,-4.2,NA,NA,NA,NA,NA,NA,NA
"1760",NA,NA,"180205_Std_4uMStdsInH2O_1",9.11,109041808,109041808,"Guanosine",1662802,6661183,-2,NA,NA,NA,NA,NA,NA,NA
"1761",NA,NA,"180205_Std_4uMStdsInH2O_2",9.11,60058184,60058184,"Guanosine",0,3780465,-2.5,NA,NA,NA,NA,NA,NA,NA
"1762",NA,NA,"180205_Std_4uMStdsInMatrix_1",9.13,83814936,83814936,"Guanosine",1153967,4871431,-1.6,NA,NA,NA,NA,NA,NA,NA
"1763",NA,NA,"180205_Std_4uMStdsInMatrix_2",9.15,55060012,55060012,"Guanosine",0,2936516,-2.8,NA,NA,NA,NA,NA,NA,NA
"1764",NA,NA,"180205_Blk_MQBlk_1",8.88,0,NA,"Guanosine",0,0,NA,"blank.Flag, height.min.Flag,  area.min.Flag",NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA
"1765",NA,NA,"180205_Blk_MQBlk_2",8.88,0,NA,"Guanosine",0,0,NA,"blank.Flag, height.min.Flag,  area.min.Flag",NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA
"1766",NA,NA,"180205_Blk_MQBlk_3",8.82,0,NA,"Guanosine",0,0,NA,"blank.Flag, height.min.Flag,  area.min.Flag",NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA
"1767",NA,NA,"180205_Blk_SWBlk_1",8.78,0,NA,"Guanosine",0,0,NA,"blank.Flag, height.min.Flag,  area.min.Flag",NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA
"1768",NA,NA,"180205_Blk_SWBlk_2",9.05,5711,5711,"Guanosine",0,5590,2.1,NA,NA,NA,NA,NA,NA,NA
"1769",NA,NA,"180205_Blk_SWBlk_3",8.86,0,NA,"Guanosine",0,0,NA,"blank.Flag, height.min.Flag,  area.min.Flag",NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA
"1770",NA,NA,"180205_Poo_Sept29QC_1",9.15,958246,958246,"Guanosine",0,61919,-1.8,NA,NA,NA,NA,NA,NA,NA
"1771",NA,NA,"180205_Poo_Sept29QC_2",9.16,176498,176498,"Guanosine",0,20981,-1.2,NA,NA,NA,NA,NA,NA,NA
"1772",NA,NA,"180205_Poo_Sept29QC_3",9.2,246341,246341,"Guanosine",0,20521,-2.6,NA,NA,NA,NA,NA,NA,NA
"1773",NA,NA,"180205_Poo_Sept29QC_4",9.13,185371,185371,"Guanosine",0,18141,-1.6,NA,NA,NA,NA,NA,NA,NA
"1774",NA,NA,"180205_Poo_TruePoo_Full1",9.15,2021050,2021050,"Guanosine",0,133675,-2.2,NA,NA,NA,NA,NA,NA,NA
"1775",NA,NA,"180205_Poo_TruePoo_Full2",9.16,522545,522545,"Guanosine",0,48982,-1.7,NA,NA,NA,NA,NA,NA,NA
"1776",NA,NA,"180205_Poo_TruePoo_Full3",9.22,971553,971553,"Guanosine",0,66268,-2.3,NA,NA,NA,NA,NA,NA,NA
"1777",NA,NA,"180205_Poo_TruePoo_Half1",9.1,1040430,1040430,"Guanosine",0,71101,-1.8,NA,NA,NA,NA,NA,NA,NA
"1778",NA,NA,"180205_Poo_TruePoo_Half2",9.17,219197,219197,"Guanosine",0,24186,-1.9,NA,NA,NA,NA,NA,NA,NA
"1779",NA,NA,"180205_Poo_TruePoo_Half3",9.15,308223,308223,"Guanosine",0,21418,-2,NA,NA,NA,NA,NA,NA,NA
"1780",NA,NA,"180205_Smp_L1C32DCMless10m_A",9.19,1512428,1512428,"Guanosine",0,92342,-2.1,NA,NA,NA,NA,NA,NA,NA
"1781",NA,NA,"180205_Smp_L1C32DCMless10m_B",9.15,544490,544490,"Guanosine",0,39866,-1.7,NA,NA,NA,NA,NA,NA,NA
"1782",NA,NA,"180205_Smp_L1C32DCMless10m_C",9.12,835733,835733,"Guanosine",0,60052,-2.4,NA,NA,NA,NA,NA,NA,NA
"1783",NA,NA,"180205_Smp_L1C32DCMless20m_A",9.18,795062,795062,"Guanosine",0,44346,-1.8,NA,NA,NA,NA,NA,NA,NA
"1784",NA,NA,"180205_Smp_L1C32DCMless20m_B",9.19,937144,937144,"Guanosine",0,61753,-1.9,NA,NA,NA,NA,NA,NA,NA
"1785",NA,NA,"180205_Smp_L1C32DCMless20m_C",9.15,1240590,1240590,"Guanosine",0,84526,-1.9,NA,NA,NA,NA,NA,NA,NA
"1786",NA,NA,"180205_Smp_L1C33DCM_A",9.14,686876,686876,"Guanosine",0,50810,-1.9,NA,NA,NA,NA,NA,NA,NA
"1787",NA,NA,"180205_Smp_L1C33DCM_B",9.19,1136807,1136807,"Guanosine",0,71475,-2,NA,NA,NA,NA,NA,NA,NA
"1788",NA,NA,"180205_Smp_L1C33DCM_C",9.14,781354,781354,"Guanosine",0,54895,-2.2,NA,NA,NA,NA,NA,NA,NA
"1789",NA,NA,"180205_Smp_L1C33DCMplus10m_A",9.09,2480393,2480393,"Guanosine",0,158287,-2.3,NA,NA,NA,NA,NA,NA,NA
"1790",NA,NA,"180205_Smp_L1C33DCMplus10m_B",9.17,908390,908390,"Guanosine",0,60003,-2.2,NA,NA,NA,NA,NA,NA,NA
"1791",NA,NA,"180205_Smp_L1C33DCMplus10m_C",9.11,826108,826108,"Guanosine",0,52952,-2.1,NA,NA,NA,NA,NA,NA,NA
"1792",NA,NA,"180205_Smp_L1C33DCMplus20m_A",9.19,428961,428961,"Guanosine",0,33788,-1.8,NA,NA,NA,NA,NA,NA,NA
"1793",NA,NA,"180205_Smp_L1C33DCMplus20m_B",9.12,324562,324562,"Guanosine",0,33174,-2,NA,NA,NA,NA,NA,NA,NA
"1794",NA,NA,"180205_Smp_L1C33DCMplus20m_C",9.22,616153,616153,"Guanosine",0,43925,-2.3,NA,NA,NA,NA,NA,NA,NA
"1795",NA,NA,"180205_Smp_L2C1DCMless10m_A",9.17,690094,690094,"Guanosine",0,49430,-1.8,NA,NA,NA,NA,NA,NA,NA
"1796",NA,NA,"180205_Smp_L2C1DCMless10m_B",9.19,861073,861073,"Guanosine",0,55919,-2,NA,NA,NA,NA,NA,NA,NA
"1797",NA,NA,"180205_Smp_L2C1DCMless10m_C",9.14,958099,958099,"Guanosine",0,65253,-2.2,NA,NA,NA,NA,NA,NA,NA
"1798",NA,NA,"180205_Smp_L2C1DCMless20m_A",9.15,2718946,2718946,"Guanosine",0,178991,-1.8,NA,NA,NA,NA,NA,NA,NA
"1799",NA,NA,"180205_Smp_L2C1DCMless20m_B",9.15,1056327,1056327,"Guanosine",0,79791,-2,NA,NA,NA,NA,NA,NA,NA
"1800",NA,NA,"180205_Smp_L2C1DCMless20m_C",9.14,541041,541041,"Guanosine",0,38488,-2.2,NA,NA,NA,NA,NA,NA,NA
"1801",NA,NA,"180205_Smp_L2C2DCM_A",9.2,521298,521298,"Guanosine",0,30194,-2.3,NA,NA,NA,NA,NA,NA,NA
"1802",NA,NA,"180205_Smp_L2C2DCM_B",9.15,1123877,1123877,"Guanosine",0,73478,-1.9,NA,NA,NA,NA,NA,NA,NA
"1803",NA,NA,"180205_Smp_L2C2DCM_C",9.17,752521,752521,"Guanosine",0,46374,-2.4,NA,NA,NA,NA,NA,NA,NA
"1804",NA,NA,"180205_Smp_L2C2DCMplus10m_A",9.12,1244013,1244013,"Guanosine",0,85685,-2,NA,NA,NA,NA,NA,NA,NA
"1805",NA,NA,"180205_Smp_L2C2DCMplus10m_B",9.14,498871,498871,"Guanosine",0,34848,-1.7,NA,NA,NA,NA,NA,NA,NA
"1806",NA,NA,"180205_Smp_L2C2DCMplus10m_C",9.11,607131,607131,"Guanosine",0,39439,-2.4,NA,NA,NA,NA,NA,NA,NA
